30/09/2026,TFL TRAVEL CH,-3.10
29/09/2026,PRET A MANGER,-6.80
29/09/2026,PRET A MANGER,-6.80
28/09/2026,SAINSBURYS S/MKTS,-23.47
26/09/2026,"AMAZON.CO.UK, REFUND",15.99
25/09/2026,KINGS COLLEGE LONDON SALARY,"1,250.00"
24/09/2026,SPOTIFY,-11.99
23/09/2026,TFL TRAVEL CH,-7.20
22/09/2026,DELIVEROO,-18.45
20/09/2026,TESCO STORES 2345,-12.50
18/09/2026,AMAZON.CO.UK,-15.99
16/09/2026,THREE MOBILE,-10.00
15/09/2026,TFL TRAVEL CH,-6.40
12/09/2026,RENT SO JONES,-650.00
10/09/2026,TESCO STORES 2345,-31.22
08/09/2026,COSTA COFFEE,-3.95
05/09/2026,TRANSFER FROM SAVINGS,200.00
03/09/2026,TFL TRAVEL CH,-5.60
02/09/2026,GYM GROUP,-24.99
01/09/2026,NETFLIX,-5.99
