Date,Description,Amount
30/11/2026,TFL TRAVEL CH,-5.10
28/11/2026,TESCO STORES 2345,-148.60
27/11/2026,PRET A MANGER,-6.10
26/11/2026,LIDL GB LONDON,-17.42
25/11/2026,KINGS COLLEGE LONDON SALARY,"1,250.00"
24/11/2026,SPOTIFY,-12.99
23/11/2026,DELIVEROO,-24.30
21/11/2026,DELIVEROO,-24.30
20/11/2026,TFL TRAVEL CH,-6.80
18/11/2026,GAILS BAKERY,-4.60
16/11/2026,THREE MOBILE,-10.00
14/11/2026,SAINSBURYS S/MKTS,-22.15
12/11/2026,RENT SO JONES,-650.00
11/11/2026,TFL TRAVEL CH,-7.20
09/11/2026,COSTA COFFEE,-3.95
07/11/2026,TESCO STORES 0112,-29.30
05/11/2026,UBER *TRIP,-11.80
03/11/2026,TFL TRAVEL CH,-5.60
02/11/2026,GYM GROUP,-24.99
01/11/2026,NETFLIX,-5.99
